Ct,sample,dilution,exp
9.32,3m,1.0,Exp1
9.46,3m,1.0,Exp1
13.24,3m,2.0,Exp1
13.31,3m,2.0,Exp1
17.19,3m,3.0,Exp1
17.23,3m,3.0,Exp1
21.22,3m,4.0,Exp1
21.21,3m,4.0,Exp1
25.01,3m,5.0,Exp1
24.97,3m,5.0,Exp1
28.63,3m,6.0,Exp1
28.75,3m,6.0,Exp1
5.45,5m,1.0,Exp1
5.51,5m,1.0,Exp1
9.53,5m,2.0,Exp1
9.41,5m,2.0,Exp1
13.57,5m,3.0,Exp1
13.61,5m,3.0,Exp1
17.69,5m,4.0,Exp1
17.67,5m,4.0,Exp1
22.07,5m,5.0,Exp1
22.03,5m,5.0,Exp1
25.7,5m,6.0,Exp1
25.75,5m,6.0,Exp1
29.48,5m,7.0,Exp1
29.41,5m,7.0,Exp1
5.13,no,1.0,Exp1
5.1,no,1.0,Exp1
8.73,no,2.0,Exp1
8.81,no,2.0,Exp1
12.18,no,3.0,Exp1
12.12,no,3.0,Exp1
15.56,no,4.0,Exp1
15.68,no,4.0,Exp1
19.01,no,5.0,Exp1
19.0,no,5.0,Exp1
22.5,no,6.0,Exp1
22.54,no,6.0,Exp1
25.85,no,7.0,Exp1
25.94,no,7.0,Exp1
9.15,3m,1.0,Exp2
9.31,3m,1.0,Exp2
13.14,3m,2.0,Exp2
13.15,3m,2.0,Exp2
16.95,3m,3.0,Exp2
16.91,3m,3.0,Exp2
20.7,3m,4.0,Exp2
20.61,3m,4.0,Exp2
24.28,3m,5.0,Exp2
24.32,3m,5.0,Exp2
27.94,3m,6.0,Exp2
27.96,3m,6.0,Exp2
5.1,5m,1.0,Exp2
5.12,5m,1.0,Exp2
9.06,5m,2.0,Exp2
8.93,5m,2.0,Exp2
12.87,5m,3.0,Exp2
12.88,5m,3.0,Exp2
16.88,5m,4.0,Exp2
16.89,5m,4.0,Exp2
20.67,5m,5.0,Exp2
20.58,5m,5.0,Exp2
25.26,5m,6.0,Exp2
25.35,5m,6.0,Exp2
28.83,5m,7.0,Exp2
28.79,5m,7.0,Exp2
4.8,no,1.0,Exp2
4.71,no,1.0,Exp2
8.33,no,2.0,Exp2
8.26,no,2.0,Exp2
11.74,no,3.0,Exp2
11.67,no,3.0,Exp2
15.07,no,4.0,Exp2
15.11,no,4.0,Exp2
18.56,no,5.0,Exp2
18.58,no,5.0,Exp2
21.98,no,6.0,Exp2
22.08,no,6.0,Exp2
25.3,no,7.0,Exp2
25.46,no,7.0,Exp2
9.04,3m,1.0,Exp3
9.2,3m,1.0,Exp3
12.97,3m,2.0,Exp3
12.99,3m,2.0,Exp3
16.76,3m,3.0,Exp3
16.74,3m,3.0,Exp3
20.58,3m,4.0,Exp3
20.54,3m,4.0,Exp3
25.42,3m,5.0,Exp3
25.47,3m,5.0,Exp3
29.0,3m,6.0,Exp3
29.0,3m,6.0,Exp3
5.26,5m,1.0,Exp3
5.27,5m,1.0,Exp3
9.16,5m,2.0,Exp3
9.35,5m,2.0,Exp3
13.05,5m,3.0,Exp3
13.09,5m,3.0,Exp3
16.96,5m,4.0,Exp3
16.96,5m,4.0,Exp3
20.94,5m,5.0,Exp3
21.04,5m,5.0,Exp3
24.66,5m,6.0,Exp3
24.7,5m,6.0,Exp3
28.54,5m,7.0,Exp3
28.54,5m,7.0,Exp3
4.93,no,1.0,Exp3
4.91,no,1.0,Exp3
8.57,no,2.0,Exp3
8.6,no,2.0,Exp3
11.81,no,3.0,Exp3
11.9,no,3.0,Exp3
15.46,no,4.0,Exp3
15.42,no,4.0,Exp3
18.92,no,5.0,Exp3
18.96,no,5.0,Exp3
22.73,no,6.0,Exp3
22.78,no,6.0,Exp3
26.15,no,7.0,Exp3
26.04,no,7.0,Exp3
