#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
002201	0.19936	0.376132	0.00000	0.000000	4118	0	4276	392895
005147	0.16465	0.302368	0.00000	0.000000	3401	0	3486	310947
000175	0.15366	0.289738	0.00010	0.000032	3174	2	3262	297501
003719	0.15066	0.276570	0.00000	0.000000	3112	0	3189	283152
004201	0.14480	0.270961	0.00000	0.000000	2991	0	3066	278137
001171	0.14015	0.259795	0.00000	0.000000	2895	0	2972	266656
002190	0.13938	0.263790	0.00000	0.000000	2879	0	2952	270866
002961	0.13667	0.252871	0.00000	0.000000	2823	0	2907	260260
003895	0.13405	0.254973	0.00000	0.000000	2769	0	2841	261178
004603	0.13381	0.248136	0.00000	0.000000	2764	0	2849	255618
003982	0.13362	0.252542	0.00000	0.000000	2760	0	2815	257405
002580	0.13362	0.253191	0.00000	0.000000	2760	0	2822	259286
001607	0.13241	0.247380	0.00000	0.000000	2735	0	2797	253189
000768	0.13163	0.248319	0.00000	0.000000	2719	0	2783	254321
000623	0.12829	0.239669	0.00000	0.000000	2650	0	2722	246038
001467	0.12452	0.235234	0.00000	0.000000	2572	0	2639	241783
004589	0.12161	0.223979	0.00000	0.000000	2512	0	2587	231476
001153	0.12122	0.229903	0.00000	0.000000	2504	0	2564	235469
000755	0.12113	0.228864	0.00000	0.000000	2502	0	2560	233586
003229	0.12035	0.227980	0.00000	0.000000	2486	0	2543	233257
002707	0.11982	0.218360	0.00000	0.000000	2475	0	2548	226099
000701	0.11982	0.223590	0.00000	0.000000	2475	0	2524	228001
002967	0.11977	0.227361	0.00000	0.000000	2474	0	2546	234120
002533	0.11905	0.215992	0.00000	0.000000	2459	0	2539	223838
001125	0.11793	0.219952	0.00000	0.000000	2436	0	2493	224670
003182	0.11648	0.215270	0.00000	0.000000	2406	0	2465	220697
002226	0.11624	0.219099	0.00000	0.000000	2401	0	2454	223739
005119	0.11493	0.208480	0.00000	0.000000	2374	0	2440	214193
000430	0.11416	0.211354	0.00000	0.000000	2358	0	2420	216978
002965	0.11396	0.215412	0.00000	0.000000	2354	0	2421	221739
001796	0.11387	0.212796	0.00000	0.000000	2352	0	2417	219698
002959	0.11362	0.213407	0.00000	0.000000	2347	0	2387	217069
004921	0.11304	0.195169	0.00000	0.000000	2335	0	2390	199437
003151	0.11082	0.211130	0.00000	0.000000	2289	0	2351	216206
004621	0.10936	0.208047	0.00000	0.000000	2259	0	2314	212541
000981	0.10670	0.201590	0.00000	0.000000	2204	0	2261	206758
004697	0.10651	0.197366	0.00000	0.000000	2200	0	2264	202949
001743	0.10641	0.201078	0.00000	0.000000	2198	0	2255	206713
