seq_id,PCR1,PCR2
000000,270,798
000001,115,284
000002,312,9
000003,253,2
000004,480,652
000005,477,251
000006,211,1071
000007,214,259
000008,204,371
000009,199,92
000010,187,197
000011,243,483
000012,148,25
000013,722,96
000014,216,41
000015,147,841
000016,402,415
000017,159,315
000018,177,0
000019,421,28
000020,281,103
000021,331,627
000022,189,30
000023,354,0
000024,269,565
000025,944,198
000026,280,506
000027,532,609
000028,192,10
000029,187,1
000030,408,1457
000031,1000,684
000032,368,272
000033,178,460
000034,253,405
000035,359,0
000036,227,802
000037,232,0
000038,242,454
000039,485,868
000040,404,216
000041,235,0
000042,887,396
000043,199,32
000044,533,288
000045,593,729
000046,313,542
000047,257,305
000048,459,247
000049,174,165
000050,317,150
000051,317,350
000052,946,1383
000053,228,30
000054,358,151
000055,303,309
000056,271,1
000057,904,572
000058,305,628
000059,135,2
000060,529,529
000061,387,308
000062,315,247
000063,258,149
000064,766,117
000065,337,0
000066,313,35
000067,252,79
000068,359,180
000069,513,378
000070,183,496
000071,356,104
000072,698,979
000073,617,642
000074,125,0
000075,370,502
000076,248,171
000077,426,243
000078,344,251
000079,273,131
000080,324,133
000081,330,65
000082,353,743
000083,820,783
000084,466,1212
000085,278,307
000086,587,523
000087,315,26
000088,314,964
000089,184,239
000090,235,515
000091,380,442
000092,656,824
000093,273,666
000094,438,345
000095,75,69
000096,403,138
000097,296,985
000098,755,215
000099,148,598
000100,532,119
000101,442,1524
000102,646,776
000103,350,613
000104,48,227
000105,403,615
000106,449,21
000107,556,48
000108,396,68
000109,195,0
000110,317,321
000111,102,301
000112,133,188
000113,283,393
000114,116,1
000115,612,472
000116,165,0
000117,702,361
000118,504,804
000119,485,507
000120,275,148
000121,410,0
000122,200,189
000123,791,1113
000124,249,74
000125,261,112
000126,554,304
000127,97,14
000128,470,348
000129,313,323
000130,603,365
000131,744,297
000132,579,1139
000133,504,2
000134,348,84
000135,259,105
000136,186,329
000137,265,199
000138,532,521
000139,361,1557
000140,184,10
000141,282,344
000142,232,21
000143,367,0
000144,151,0
000145,453,396
000146,540,1507
000147,642,643
000148,431,725
000149,1128,443
000150,327,753
000151,570,990
000152,205,160
000153,1146,740
000154,773,282
000155,249,299
000156,366,7
000157,493,364
000158,173,0
000159,187,156
000160,331,342
000161,437,137
000162,372,295
000163,134,1
000164,609,1553
000165,351,73
000166,440,1391
000167,162,120
000168,352,0
000169,553,219
000170,178,12
000171,560,482
000172,283,0
000173,670,748
000174,408,263
000175,2346,3276
000176,190,1
000177,353,306
000178,270,1069
000179,266,598
000180,763,544
000181,136,5
000182,131,0
000183,345,4
000184,206,0
000185,596,618
000186,933,206
000187,203,1135
000188,790,424
000189,194,133
000190,471,946
000191,353,23
000192,463,319
000193,687,0
000194,239,340
000195,467,77
000196,204,122
000197,284,321
000198,313,158
000199,603,795
000200,207,1269
000201,303,439
000202,334,90
000203,590,140
000204,440,119
000205,141,9
000206,381,1071
000207,524,1079
000208,239,0
000209,291,515
000210,316,829
000211,440,99
000212,428,604
000213,409,1049
000214,308,8
000215,220,99
000216,219,125
000217,413,781
000218,375,48
000219,1136,494
000220,295,234
000221,717,687
000222,292,12
000223,216,10
000224,1034,477
000225,243,382
000226,135,6
000227,257,0
000228,496,873
000229,179,10
000230,783,506
000231,211,1284
000232,824,268
000233,174,0
000234,437,288
000235,539,270
000236,235,400
000237,260,262
000238,446,386
000239,337,1190
000240,108,850
000241,209,36
000242,265,114
000243,241,2
000244,329,427
000245,229,0
000246,269,700
000247,432,37
000248,468,870
000249,121,13
000250,659,735
000251,1061,944
000252,209,41
000253,240,386
000254,277,6
000255,180,0
000256,383,0
000257,138,0
000258,294,90
000259,186,9
000260,1162,1586
000261,487,235
000262,503,243
000263,162,0
000264,285,180
000265,453,367
000266,944,252
000267,974,599
000268,539,277
000269,339,227
000270,295,141
000271,363,1
000272,594,515
000273,408,371
000274,192,13
000275,653,1402
000276,373,205
000277,415,560
000278,565,1043
000279,408,373
000280,495,343
000281,480,104
000282,441,265
000283,139,163
000284,303,0
000285,348,4
000286,246,0
000287,159,9
000288,412,75
000289,104,138
000290,669,295
000291,254,704
000292,294,179
000293,383,0
000294,307,550
000295,490,492
000296,455,14
000297,283,307
000298,205,52
000299,470,498
000300,496,12
000301,325,18
000302,608,484
000303,192,254
000304,397,68
000305,385,335
000306,343,154
000307,157,78
000308,592,318
000309,804,0
000310,242,527
000311,347,237
000312,246,0
