#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004255	0.19862	2.961756	0.00000	0.000000	19746	0	20337	3050400
006921	0.18110	2.700431	0.00000	0.000000	18004	0	18167	2724876
007734	0.10863	1.619896	0.00000	0.000000	10800	0	11011	1651545
001749	0.10684	1.593134	0.00000	0.000000	10622	0	10714	1606930
001171	0.09372	1.397476	0.00000	0.000000	9317	0	9353	1402876
004751	0.09268	1.381960	0.00000	0.000000	9214	0	9299	1394710
002936	0.09210	1.373378	0.00000	0.000000	9156	0	9234	1385078
001022	0.08634	1.287466	0.00000	0.000000	8584	0	8674	1300966
008844	0.08613	1.284286	0.00000	0.000000	8563	0	8663	1299282
004235	0.08320	1.240516	0.00000	0.000000	8271	0	8328	1249062
001346	0.08319	1.240414	0.00000	0.000000	8270	0	8346	1251814
001280	0.08248	1.229884	0.00000	0.000000	8200	0	8438	1265584
000192	0.08211	1.224379	0.00000	0.000000	8163	0	8329	1249274
008332	0.08081	1.204944	0.00000	0.000000	8034	0	8089	1213194
004440	0.07718	1.150874	0.00000	0.000000	7673	0	7747	1161974
005258	0.07576	1.129710	0.00000	0.000000	7532	0	7583	1137356
005106	0.07574	1.129322	0.00000	0.000000	7530	0	7617	1142360
004154	0.07543	1.124709	0.00000	0.000000	7499	0	7691	1153506
009195	0.07412	1.105225	0.00000	0.000000	7369	0	7431	1114520
007235	0.07248	1.080842	0.00000	0.000000	7206	0	7266	1089842
006681	0.07242	1.079907	0.00000	0.000000	7200	0	7235	1085152
007481	0.06964	1.038348	0.00000	0.000000	6923	0	7033	1054848
001770	0.06766	1.008798	0.00000	0.000000	6726	0	6780	1016898
000855	0.06765	1.008586	0.00000	0.000000	6725	0	6809	1021186
009089	0.06744	1.005686	0.00000	0.000000	6705	0	6783	1017386
008763	0.06606	0.984984	0.00000	0.000000	6567	0	6605	990684
002644	0.06599	0.983853	0.00000	0.000000	6560	0	6620	992852
006790	0.06566	0.979121	0.00000	0.000000	6528	0	6640	995910
010175	0.06520	0.972231	0.00000	0.000000	6482	0	6557	983467
006202	0.06399	0.954175	0.00000	0.000000	6362	0	6406	960772
000135	0.06181	0.921706	0.00000	0.000000	6145	0	6305	945706
000853	0.06180	0.921415	0.00000	0.000000	6144	0	6191	928454
000437	0.06169	0.919942	0.00000	0.000000	6133	0	6188	928192
004982	0.06074	0.905818	0.00000	0.000000	6039	0	6191	928618
007851	0.06026	0.898425	0.00000	0.000000	5991	0	6048	906951
006513	0.05988	0.892900	0.00000	0.000000	5953	0	6011	901600
000061	0.05944	0.886283	0.00000	0.000000	5909	0	5973	895879
005607	0.05935	0.884891	0.00000	0.000000	5900	0	5972	895686
003380	0.05888	0.877988	0.00000	0.000000	5854	0	5917	887434
006417	0.05767	0.859852	0.00000	0.000000	5733	0	5786	867802
002807	0.05726	0.853725	0.00000	0.000000	5693	0	5757	863310
009164	0.05672	0.845743	0.00000	0.000000	5639	0	5686	852788
000633	0.05625	0.838700	0.00000	0.000000	5592	0	5700	854898
003915	0.05606	0.835764	0.00000	0.000000	5573	0	5601	839964
