seq_id,PCR1,PCR2,PCR3,PCR4,PCR5,PCR6
000000,110,112,50,74,48,30
000001,98,128,104,150,192,108
000002,66,70,54,54,64,36
000003,128,84,86,106,82,112
000004,164,176,102,154,184,106
000005,138,66,32,38,42,18
000006,106,160,94,120,136,114
000007,92,96,112,82,98,102
000008,88,116,96,144,124,124
000009,84,124,90,116,98,124
000010,190,140,158,192,184,138
000011,190,146,130,156,156,134
000012,168,154,104,136,94,98
000013,98,78,72,62,74,42
000014,92,120,110,136,140,130
000015,126,166,152,188,224,180
000016,118,132,76,134,142,110
000017,148,108,114,150,144,102
000018,116,118,72,118,114,112
000019,144,116,92,142,110,76
000020,140,100,112,146,164,146
000021,122,98,94,118,128,118
000022,202,188,156,250,216,194
000023,108,112,54,94,94,100
000024,118,144,124,166,140,132
000025,110,122,98,136,128,106
000026,162,34,4,0,4,0
000027,128,118,114,150,140,140
000028,200,184,138,200,174,218
000029,92,80,90,104,110,82
000030,150,114,112,144,142,126
000031,120,126,96,160,150,154
000032,154,98,160,120,116,106
000033,134,88,70,84,98,64
000034,204,152,128,132,116,74
000035,180,142,126,172,190,160
000036,126,122,152,180,162,126
000037,122,126,110,142,150,112
000038,126,94,122,142,184,148
000039,134,130,92,146,156,146
000040,144,106,138,160,180,166
000041,172,164,112,130,92,110
000042,162,168,158,164,144,154
000043,122,126,104,100,98,84
000044,114,114,114,168,126,126
000045,138,122,104,150,132,128
000046,130,98,88,134,118,122
000047,168,204,196,228,298,200
000048,70,74,79,120,74,87
000049,158,184,144,200,184,122
000050,132,124,148,210,146,170
000051,142,128,112,176,134,120
000052,138,114,88,128,170,124
000053,128,130,122,146,166,140
000054,160,124,124,174,164,116
000055,178,128,142,164,144,146
000056,88,90,86,56,80,56
000057,194,180,156,238,206,224
000058,100,98,84,118,90,108
000059,152,116,130,140,176,172
000060,158,146,122,170,198,186
000061,110,68,82,148,172,96
000062,112,146,132,146,174,154
000063,172,184,130,208,146,116
000064,120,122,82,82,90,72
000065,94,104,103,130,100,116
000066,172,162,120,162,206,176
000067,216,230,210,198,206,212
000068,168,194,156,188,202,190
000069,126,66,38,48,62,26
000070,138,114,106,98,96,96
000071,84,120,82,126,150,94
000072,210,162,148,250,184,204
000073,162,134,120,138,108,80
000074,86,88,72,84,86,78
000075,114,84,98,114,112,102
000076,158,136,140,200,196,190
000077,106,134,122,214,204,172
000078,144,146,120,180,184,126
000079,96,166,90,150,112,104
000080,122,140,90,118,104,90
000081,120,122,100,134,126,100
000082,110,134,120,142,118,132
000083,128,128,98,132,94,92
000084,96,100,78,128,102,94
000085,160,126,92,116,110,75
000086,146,136,80,134,140,120
000087,152,116,102,152,134,80
000088,110,106,110,158,190,160
000089,168,136,112,158,150,150
000090,144,98,106,130,152,98
000091,126,152,184,220,208,242
000092,158,142,164,170,144,130
000093,118,120,124,148,122,122
000094,138,128,102,162,152,112
000095,96,130,136,176,192,154
000096,102,138,159,162,192,162
000097,122,126,86,130,124,90
000098,132,96,90,96,134,94
000099,166,134,102,148,170,118
000100,148,148,138,226,194,178
000101,110,130,106,152,166,152
000102,138,116,108,136,104,114
000103,124,162,86,98,110,106
000104,144,158,148,172,156,168
000105,111,128,122,190,132,142
000106,104,78,120,134,122,142
000107,28,50,14,36,52,22
000108,100,106,100,158,114,108
000109,122,122,94,122,158,108
000110,118,122,120,154,148,144
000111,96,92,72,74,112,74
000112,146,78,80,132,76,76
000113,166,140,134,154,161,144
000114,110,100,56,74,54,32
000115,142,102,146,198,144,156
000116,144,116,110,82,66,48
000117,102,122,92,126,126,146
000118,144,142,134,178,184,164
000119,164,144,136,196,186,142
000120,58,2,0,0,0,0
000121,128,102,80,90,70,68
000122,138,94,110,140,122,154
000123,112,112,80,132,116,90
000124,184,136,108,172,126,86
000125,130,112,128,178,132,146
000126,166,144,134,188,210,186
000127,154,180,150,176,150,126
000128,78,88,68,96,126,94
000129,190,150,154,156,172,154
000130,84,128,82,100,104,108
000131,140,60,84,78,88,76
000132,94,122,104,114,92,102
000133,224,192,188,198,234,184
000134,112,112,108,124,94,90
000135,172,180,174,228,184,206
000136,154,154,162,190,202,120
000137,128,112,64,88,50,58
000138,122,166,136,196,170,192
000139,88,72,88,126,118,132
000140,110,104,136,136,146,138
000141,116,78,74,120,114,128
000142,202,144,152,190,118,120
000143,142,128,124,146,174,148
000144,122,94,116,134,104,136
000145,154,128,116,126,140,102
000146,88,98,82,114,110,112
000147,170,148,142,198,198,176
000148,158,152,152,196,192,166
000149,176,112,162,164,216,136
000150,140,132,154,150,176,150
000151,96,110,86,110,120,85
000152,132,132,126,122,134,126
000153,84,112,110,96,108,90
000154,202,170,142,200,172,156
000155,128,124,84,128,136,102
000156,124,114,114,144,112,130
000157,176,184,140,180,204,188
000158,130,114,114,132,174,156
000159,132,94,98,128,146,124
000160,182,222,140,228,164,140
000161,112,106,96,104,114,98
000162,62,76,70,110,58,56
000163,166,152,130,164,116,182
000164,130,118,84,122,104,70
000165,152,158,156,194,158,148
000166,146,168,138,180,144,92
000167,130,134,108,178,160,114
000168,136,160,124,196,192,122
000169,108,99,88,142,120,102
000170,202,220,162,218,220,198
000171,168,170,142,156,138,136
000172,104,80,50,28,36,16
000173,168,140,154,228,190,150
000174,184,160,182,190,162,202
000175,136,136,112,124,126,116
000176,134,126,146,170,142,124
000177,172,160,150,170,226,196
000178,100,100,92,128,116,98
000179,84,82,84,146,126,86
000180,168,170,138,174,196,128
