#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
002159	0.03035	0.014679	0.00000	0.000000	153	0	246	22712
011129	0.02718	0.011459	0.00000	0.000000	137	0	230	17412
005799	0.02321	0.015075	0.00000	0.000000	117	0	172	22876
009283	0.02301	0.011214	0.00000	0.000000	116	0	182	16658
009195	0.02083	0.010592	0.00000	0.000000	105	0	178	17478
008117	0.02043	0.007196	0.00000	0.000000	103	0	170	10496
007619	0.01904	0.007474	0.00000	0.000000	96	0	156	11060
007232	0.01904	0.010719	0.00000	0.000000	96	0	163	17823
008604	0.01885	0.006666	0.00000	0.000000	95	0	146	8516
000511	0.01885	0.007420	0.00000	0.000000	95	0	153	10470
005872	0.01805	0.008507	0.00000	0.000000	91	0	138	11766
005536	0.01805	0.007962	0.00000	0.000000	91	0	138	10668
004733	0.01805	0.005462	0.00000	0.000000	91	0	154	7870
008501	0.01766	0.008747	0.00000	0.000000	89	0	144	13278
004783	0.01766	0.008256	0.00000	0.000000	89	0	148	13024
002217	0.01746	0.006759	0.00000	0.000000	88	0	128	8404
005163	0.01726	0.008366	0.00000	0.000000	87	0	128	11432
000613	0.01706	0.006873	0.00000	0.000000	86	0	146	10766
010591	0.01666	0.005184	0.00000	0.000000	84	0	149	8384
006709	0.01666	0.005870	0.00000	0.000000	84	0	144	8980
004954	0.01666	0.007420	0.00000	0.000000	84	0	151	13016
011020	0.01647	0.005272	0.00000	0.000000	83	0	141	7754
006725	0.01647	0.007937	0.00000	0.000000	83	0	110	9882
009514	0.01627	0.007561	0.00000	0.000000	82	0	140	12178
002898	0.01627	0.007336	0.00000	0.000000	82	0	126	10248
002174	0.01627	0.008051	0.00000	0.000000	82	0	116	10464
011054	0.01587	0.005785	0.00000	0.000000	80	0	134	8592
006965	0.01587	0.004139	0.00000	0.000000	80	0	140	6282
008126	0.01547	0.005937	0.00000	0.000000	78	0	138	9846
010473	0.01528	0.007248	0.00000	0.000000	77	0	116	10076
002238	0.01508	0.008641	0.00000	0.000000	76	0	100	11136
006116	0.01488	0.006321	0.00000	0.000000	75	0	125	9503
007899	0.01468	0.007428	0.00000	0.000000	74	0	100	9256
004267	0.01468	0.006422	0.00000	0.000000	74	0	113	8860
002235	0.01448	0.006934	0.00000	0.000000	73	0	108	9600
006504	0.01408	0.005271	0.00000	0.000000	71	0	111	7291
003390	0.01408	0.005437	0.00000	0.000000	71	0	107	7233
008479	0.01389	0.005409	0.00000	0.000000	70	0	100	6532
006705	0.01389	0.007174	0.00000	0.000000	70	0	90	8708
003907	0.01389	0.004375	0.00000	0.000000	70	0	120	6694
003761	0.01389	0.006462	0.00000	0.000000	70	0	102	8584
008289	0.01369	0.005116	0.00000	0.000000	69	0	112	7376
004493	0.01349	0.004816	0.00000	0.000000	68	0	118	7728
004353	0.01349	0.008658	0.00000	0.000000	68	0	98	12944
002854	0.01349	0.005727	0.00000	0.000000	68	0	114	8892
002528	0.01349	0.005614	0.00000	0.000000	68	0	98	7134
002220	0.01349	0.007299	0.00000	0.000000	68	0	92	9426
007773	0.01329	0.007232	0.00000	0.000000	67	0	68	7340
003566	0.01329	0.005353	0.00000	0.000000	67	0	94	6308
002008	0.01329	0.004433	0.00000	0.000000	67	0	114	6824
010390	0.01309	0.005794	0.00000	0.000000	66	0	96	7688
003349	0.01270	0.004530	0.00000	0.000000	64	0	108	6652
004932	0.01250	0.006813	0.00000	0.000000	63	0	92	9456
001981	0.01250	0.006244	0.00000	0.000000	63	0	88	8050
007417	0.01230	0.006862	0.00000	0.000000	62	0	62	6862
006134	0.01230	0.007308	0.00000	0.000000	62	0	64	7608
006623	0.01210	0.004337	0.00000	0.000000	61	0	88	4912
006048	0.01210	0.006162	0.00000	0.000000	61	0	90	8282
005778	0.01210	0.004586	0.00000	0.000000	61	0	104	7148
002572	0.01210	0.006540	0.00000	0.000000	61	0	64	6756
000502	0.01210	0.004623	0.00000	0.000000	61	0	92	5892
009472	0.01190	0.006922	0.00000	0.000000	60	0	82	9360
008918	0.01190	0.006648	0.00000	0.000000	60	0	62	6948
008492	0.01190	0.004801	0.00000	0.000000	60	0	93	6737
008198	0.01190	0.005747	0.00000	0.000000	60	0	84	7526
001962	0.01190	0.005509	0.00000	0.000000	60	0	96	8074
002196	0.01170	0.005293	0.00000	0.000000	59	0	88	7236
001633	0.01170	0.006614	0.00000	0.000000	59	0	62	7064
010762	0.01151	0.005534	0.00000	0.000000	58	0	80	6844
004620	0.01151	0.006370	0.00000	0.000000	58	0	58	6370
008671	0.01131	0.006268	0.00000	0.000000	57	0	58	6418
005508	0.01131	0.005548	0.00000	0.000000	57	0	76	6742
001743	0.01131	0.004739	0.00000	0.000000	57	0	86	6210
007636	0.01111	0.004344	0.00000	0.000000	56	0	86	5880
004925	0.01111	0.003706	0.00000	0.000000	56	0	86	4606
004507	0.01111	0.004471	0.00000	0.000000	56	0	78	5286
001471	0.01111	0.005957	0.00000	0.000000	56	0	82	8674
010560	0.01091	0.005586	0.00000	0.000000	55	0	76	7344
010266	0.01091	0.005659	0.00000	0.000000	55	0	72	6974
009767	0.01091	0.006208	0.00000	0.000000	55	0	58	6556
007092	0.01091	0.004542	0.00000	0.000000	55	0	92	7146
004240	0.01091	0.006128	0.00000	0.000000	55	0	76	7828
001790	0.01091	0.004103	0.00000	0.000000	55	0	92	6150
000539	0.01091	0.004916	0.00000	0.000000	55	0	86	6990
011918	0.01071	0.005496	0.00000	0.000000	54	0	60	5812
011603	0.01071	0.004587	0.00000	0.000000	54	0	74	5404
005768	0.01071	0.005912	0.00000	0.000000	54	0	56	6212
005176	0.01071	0.005878	0.00000	0.000000	54	0	56	6146
004414	0.01071	0.005834	0.00000	0.000000	54	0	56	6052
004377	0.01071	0.006108	0.00000	0.000000	54	0	55	6258
011728	0.01051	0.006002	0.00000	0.000000	53	0	60	7052
011535	0.01051	0.003531	0.00000	0.000000	53	0	91	5373
008714	0.01051	0.005657	0.00000	0.000000	53	0	57	5974
006203	0.01051	0.005251	0.00000	0.000000	53	0	65	6034
005656	0.01051	0.005587	0.00000	0.000000	53	0	68	6652
004144	0.01051	0.005729	0.00000	0.000000	53	0	58	6106
003126	0.01051	0.003915	0.00000	0.000000	53	0	80	4938
002740	0.01051	0.003821	0.00000	0.000000	53	0	78	4636
000817	0.01051	0.005084	0.00000	0.000000	53	0	74	6608
008609	0.01032	0.005839	0.00000	0.000000	52	0	54	6028
006717	0.01032	0.004518	0.00000	0.000000	52	0	73	5587
006436	0.01032	0.005606	0.00000	0.000000	52	0	52	5606
