#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GCfix_000952	1.03016	0.382000	0.00000	0.000000	4857	0	4902	385820
GCall_008070	0.31072	0.159086	0.00000	0.000000	1465	0	1484	161796
GCall_004788	0.29121	0.148770	0.00000	0.000000	1373	0	1390	151140
GCall_001634	0.28803	0.147139	0.00000	0.000000	1358	0	1378	149938
GCall_010027	0.27976	0.142612	0.00000	0.000000	1319	0	1334	144412
GCall_010123	0.25961	0.132458	0.00000	0.000000	1224	0	1230	133294
GCall_006378	0.25897	0.132072	0.00000	0.000000	1221	0	1232	133540
GCfix_007750	0.25600	0.130731	0.00000	0.000000	1207	0	1218	132210
GCfix_008874	0.25537	0.130464	0.00000	0.000000	1204	0	1218	132278
GCfix_010422	0.25303	0.129514	0.00000	0.000000	1193	0	1206	131212
GCfix_000358	0.25197	0.127606	0.00000	0.000000	1188	0	1194	128506
GCall_008247	0.25155	0.128488	0.00000	0.000000	1186	0	1196	129834
GCfix_003152	0.25112	0.127766	0.00000	0.000000	1184	0	1188	128184
GCall_001851	0.25028	0.127580	0.00000	0.000000	1180	0	1192	129226
GCfix_002038	0.24985	0.127082	0.00000	0.000000	1178	0	1190	128676
GCfix_010983	0.24837	0.126699	0.00000	0.000000	1171	0	1180	127944
GCall_005749	0.24455	0.124715	0.00000	0.000000	1153	0	1168	126788
GCfix_000590	0.24370	0.123965	0.00000	0.000000	1149	0	1158	125012
GCfix_011827	0.24222	0.123743	0.00000	0.000000	1142	0	1158	125800
GCall_009919	0.24116	0.123154	0.00000	0.000000	1137	0	1146	124364
GCall_002161	0.24116	0.122987	0.00000	0.000000	1137	0	1150	124752
GCfix_011715	0.23946	0.122143	0.00000	0.000000	1129	0	1140	123638
GCall_006870	0.23861	0.121469	0.00000	0.000000	1125	0	1132	122408
GCall_009124	0.23776	0.120996	0.00000	0.000000	1121	0	1130	122092
GCall_002983	0.23713	0.121212	0.00000	0.000000	1118	0	1126	122370
GCfix_005405	0.23585	0.120226	0.00000	0.000000	1112	0	1126	122104
GCfix_009103	0.23458	0.119768	0.00000	0.000000	1106	0	1118	121470
