source,target,AUROC,AUPRC
Choi_et_al,Choi_et_al,0.5795203037165267,0.0934065150728876
Choi_et_al,Erlich_et_al,0.5132531464553414,0.0211099891667948
Choi_et_al,Gao_et_al,0.5582989094165252,0.026883039016963
Choi_et_al,GCall,0.521478638657368,0.0241051322077663
Choi_et_al,GCfix,0.5142263626566842,0.0214651964925632
Choi_et_al,Koch_et_al,0.5139017412935323,0.0211683367367325
Choi_et_al,Song_et_al,0.5111422068869067,0.0210524378663479
Erlich_et_al,Choi_et_al,0.4995671806953666,0.0206077437923993
Erlich_et_al,Erlich_et_al,0.9248418406714536,0.264478596523224
Erlich_et_al,Gao_et_al,0.843235825141094,0.1270616143263835
Erlich_et_al,GCall,0.4357598727107785,0.0169456015523466
Erlich_et_al,GCfix,0.4623131841642561,0.0182499927018057
Erlich_et_al,Koch_et_al,0.5281242004264393,0.0218966789870297
Erlich_et_al,Song_et_al,0.6142017086935292,0.0338593307019327
Gao_et_al,Choi_et_al,0.5610119047619048,0.0238675794613204
Gao_et_al,Erlich_et_al,0.7959129493811413,0.0758945097036791
Gao_et_al,Gao_et_al,0.8722602355500658,0.1885064329722731
Gao_et_al,GCall,0.4244227334580711,0.0162161132570465
Gao_et_al,GCfix,0.4621713884635018,0.0178655506930118
Gao_et_al,Koch_et_al,0.5445614783226723,0.0232494913186176
Gao_et_al,Song_et_al,0.5455477376114263,0.0240665258078565
GCall,Choi_et_al,0.5161548689940745,0.0233151226419946
GCall,Erlich_et_al,0.4584271266376921,0.0177391798400375
GCall,Gao_et_al,0.3779415841683005,0.0152371682510321
GCall,GCall,0.8038774969171705,0.2225847441663093
GCall,GCfix,0.7891891412852362,0.1296806568861459
GCall,Koch_et_al,0.612778251599147,0.0399064332528653
GCall,Song_et_al,0.4736858200208133,0.019030221600117
GCfix,Choi_et_al,0.5200680909545228,0.0205487042685032
GCfix,Erlich_et_al,0.4838645105032754,0.0188432493839557
GCfix,Gao_et_al,0.4727478925190474,0.0182582176736092
GCfix,GCall,0.795839357600499,0.1329584802540838
GCfix,GCfix,0.8103477801810609,0.2391614839926553
GCfix,Koch_et_al,0.627414001421464,0.0451795376034935
GCfix,Song_et_al,0.4869902852463171,0.0193131533614298
Koch_et_al,Choi_et_al,0.4549589044763333,0.01722383782351
Koch_et_al,Erlich_et_al,0.5601884773006425,0.0248874021741807
Koch_et_al,Gao_et_al,0.4842715530581417,0.019122199142089
Koch_et_al,GCall,0.5568552616658162,0.0239915972944675
Koch_et_al,GCfix,0.6271255175543078,0.0320359200413852
Koch_et_al,Koch_et_al,0.6302700781805258,0.0768412953942399
Koch_et_al,Song_et_al,0.5380181606353802,0.0231296834571199
Song_et_al,Choi_et_al,0.5569112765046049,0.0274288834073206
Song_et_al,Erlich_et_al,0.6344583904163517,0.0377904384650158
Song_et_al,Gao_et_al,0.5966488422582089,0.036882046182297
Song_et_al,GCall,0.4698104482054771,0.0186697456245263
Song_et_al,GCfix,0.4879725341727638,0.0189405073568807
Song_et_al,Koch_et_al,0.5774763681592039,0.0253443618754751
Song_et_al,Song_et_al,0.7956078222045976,0.1096288763479481
