source,target,AUROC,AUPRC
Choi_et_al,Choi_et_al,0.5027130537636668,0.0817054690374018
Choi_et_al,Erlich_et_al,0.4939123175311791,0.0196504202697019
Choi_et_al,GCall,0.4621550221126042,0.0179429800100737
Choi_et_al,GCfix,0.4988626212353242,0.0195972782375486
Choi_et_al,Gao_et_al,0.4406649172482062,0.0170386421180559
Choi_et_al,Koch_et_al,0.4435438877043355,0.0188095336745593
Choi_et_al,Song_et_al,0.4993740455396681,0.0200283771799047
Erlich_et_al,Choi_et_al,0.4953951595630756,0.0211808597168738
Erlich_et_al,Erlich_et_al,0.9343941178902118,0.3282644347675564
Erlich_et_al,GCall,0.4276634348245166,0.0165750246510317
Erlich_et_al,GCfix,0.4403461942033917,0.0171016906421298
Erlich_et_al,Gao_et_al,0.8566187227709313,0.1597484313924174
Erlich_et_al,Koch_et_al,0.5282149964463397,0.0244474682291622
Erlich_et_al,Song_et_al,0.5806751072300678,0.0293881823120884
GCall,Choi_et_al,0.5115477975298065,0.0211138112597612
GCall,Erlich_et_al,0.4271939366024187,0.0162777298042898
GCall,GCall,0.8229196551547032,0.3173726754194609
GCall,GCfix,0.8493037831092962,0.3096413647123862
GCall,Gao_et_al,0.4620941414448599,0.018170653250044
GCall,Koch_et_al,0.6648635394456289,0.1108507588562655
GCall,Song_et_al,0.5013409589349928,0.020055481761458
GCfix,Choi_et_al,0.4794165417291354,0.0194331696054016
GCfix,Erlich_et_al,0.5199698788658982,0.0205799856220685
GCfix,GCall,0.7567641889210184,0.1907479494572654
GCfix,GCfix,0.8096921281422421,0.3937525545173962
GCfix,Gao_et_al,0.4554927362271694,0.0197768082381223
GCfix,Koch_et_al,0.6488073916133618,0.1443806808518245
GCfix,Song_et_al,0.5159436050351571,0.0207741459936164
Gao_et_al,Choi_et_al,0.5496760548297279,0.0233612919973785
Gao_et_al,Erlich_et_al,0.7913953008865583,0.0832901017511075
Gao_et_al,GCall,0.4508233755740772,0.0170674596025699
Gao_et_al,GCfix,0.4688825789802053,0.0183770314731376
Gao_et_al,Gao_et_al,0.852560321543551,0.209444649981101
Gao_et_al,Koch_et_al,0.5086997157071784,0.0285038760329809
Gao_et_al,Song_et_al,0.612423546580632,0.0361998996616367
Koch_et_al,Choi_et_al,0.5016933497536946,0.0212911294403983
Koch_et_al,Erlich_et_al,0.5319327473466238,0.0215536653922406
Koch_et_al,GCall,0.5865651754833588,0.0621784181961893
Koch_et_al,GCfix,0.6175429640973286,0.0919058261235683
Koch_et_al,Gao_et_al,0.6436489121427919,0.049695114428916
Koch_et_al,Koch_et_al,0.6513823738450604,0.1188136711208881
Koch_et_al,Song_et_al,0.5481713768489376,0.0235793239243055
Song_et_al,Choi_et_al,0.5670066752338117,0.03771928022521217
Song_et_al,Erlich_et_al,0.6673650872385992,0.045122930838862416
Song_et_al,GCall,0.5131509752225435,0.022095965703506956
Song_et_al,GCfix,0.5060075293517101,0.0205190991906146
Song_et_al,Gao_et_al,0.6983910034734941,0.05095421994535622
Song_et_al,Koch_et_al,0.588042999289268,0.031369424590966526
Song_et_al,Song_et_al,0.8418447028872303,0.15076858932307335
