#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004316	0.03680	0.078016	0.00000	0.000000	736	0	736	78016
006445	0.03390	0.071868	0.00000	0.000000	678	0	678	71868
001739	0.03230	0.068476	0.00000	0.000000	646	0	646	68476
002770	0.03170	0.067204	0.00000	0.000000	634	0	634	67204
004984	0.03120	0.066768	0.00000	0.000000	624	0	624	66768
000447	0.03020	0.064628	0.00000	0.000000	604	0	604	64628
007634	0.02980	0.063772	0.00000	0.000000	596	0	596	63772
006541	0.02980	0.063176	0.00000	0.000000	596	0	596	63176
005242	0.02860	0.060632	0.00000	0.000000	572	0	572	60632
003749	0.02840	0.059072	0.00000	0.000000	568	0	568	59072
003985	0.02740	0.058636	0.00000	0.000000	548	0	548	58636
004744	0.02650	0.056180	0.00000	0.000000	530	0	530	56180
008383	0.02640	0.055968	0.00000	0.000000	528	0	528	55968
003469	0.02600	0.055640	0.00000	0.000000	520	0	520	55640
009009	0.02570	0.054998	0.00000	0.000000	514	0	514	54998
003990	0.02540	0.053848	0.00000	0.000000	508	0	508	53848
000892	0.02490	0.052788	0.00000	0.000000	498	0	498	52788
000804	0.02490	0.052788	0.00000	0.000000	498	0	498	52788
004866	0.02480	0.053072	0.00000	0.000000	496	0	496	53072
003942	0.02480	0.052576	0.00000	0.000000	496	0	496	52576
001667	0.02470	0.052364	0.00000	0.000000	494	0	494	52364
005508	0.02460	0.052152	0.00000	0.000000	492	0	492	52152
008505	0.02450	0.051940	0.00000	0.000000	490	0	490	51940
009287	0.02440	0.051728	0.00000	0.000000	488	0	488	51728
009251	0.02410	0.050610	0.00000	0.000000	482	0	482	50610
002337	0.02400	0.050880	0.00000	0.000000	480	0	480	50880
009456	0.02380	0.050456	0.00000	0.000000	476	0	476	50456
002253	0.02380	0.050456	0.00000	0.000000	476	0	476	50456
009375	0.02370	0.049770	0.00000	0.000000	474	0	474	49770
005512	0.02360	0.049560	0.00000	0.000000	472	0	472	49560
006856	0.02340	0.048672	0.00000	0.000000	468	0	468	48672
007477	0.02330	0.049862	0.00000	0.000000	466	0	466	49862
007782	0.02310	0.048972	0.00000	0.000000	462	0	462	48972
006688	0.02310	0.048972	0.00000	0.000000	462	0	462	48972
004555	0.02310	0.048972	0.00000	0.000000	462	0	462	48972
000193	0.02310	0.048048	0.00000	0.000000	462	0	462	48048
002809	0.02300	0.048760	0.00000	0.000000	460	0	460	48760
009580	0.02290	0.048548	0.00000	0.000000	458	0	458	48548
003001	0.02280	0.048336	0.00000	0.000000	456	0	456	48336
010813	0.02270	0.048124	0.00000	0.000000	454	0	454	48124
002599	0.02270	0.048124	0.00000	0.000000	454	0	454	48124
011015	0.02250	0.048150	0.00000	0.000000	450	0	450	48150
007445	0.02250	0.047700	0.00000	0.000000	450	0	450	47700
005418	0.02250	0.046800	0.00000	0.000000	450	0	450	46800
002672	0.02250	0.047250	0.00000	0.000000	450	0	450	47250
010181	0.02230	0.047722	0.00000	0.000000	446	0	446	47722
009315	0.02230	0.047276	0.00000	0.000000	446	0	446	47276
008737	0.02230	0.047276	0.00000	0.000000	446	0	446	47276
000983	0.02230	0.047276	0.00000	0.000000	446	0	446	47276
011206	0.02220	0.047508	0.00000	0.000000	444	0	444	47508
008275	0.02220	0.046620	0.00000	0.000000	444	0	444	46620
001101	0.02220	0.046620	0.00000	0.000000	444	0	444	46620
000783	0.02220	0.046620	0.00000	0.000000	444	0	444	46620
005654	0.02210	0.047294	0.00000	0.000000	442	0	442	47294
006467	0.02200	0.046640	0.00000	0.000000	440	0	440	46640
005185	0.02200	0.047080	0.00000	0.000000	440	0	440	47080
001613	0.02200	0.047080	0.00000	0.000000	440	0	440	47080
007848	0.02190	0.046428	0.00000	0.000000	438	0	438	46428
001639	0.02190	0.046866	0.00000	0.000000	438	0	438	46866
004905	0.02180	0.046652	0.00000	0.000000	436	0	436	46652
000859	0.02180	0.046216	0.00000	0.000000	436	0	436	46216
011937	0.02170	0.045136	0.00000	0.000000	434	0	434	45136
002608	0.02170	0.046004	0.00000	0.000000	434	0	434	46004
002974	0.02160	0.046224	0.00000	0.000000	432	0	432	46224
002890	0.02160	0.046224	0.00000	0.000000	432	0	432	46224
010284	0.02150	0.045580	0.00000	0.000000	430	0	430	45580
003849	0.02150	0.046010	0.00000	0.000000	430	0	430	46010
002217	0.02150	0.044720	0.00000	0.000000	430	0	430	44720
010557	0.02140	0.045368	0.00000	0.000000	428	0	428	45368
007499	0.02140	0.045796	0.00000	0.000000	428	0	428	45796
001675	0.02140	0.044512	0.00000	0.000000	428	0	428	44512
005183	0.02130	0.045156	0.00000	0.000000	426	0	426	45156
011288	0.02120	0.044944	0.00000	0.000000	424	0	424	44944
009981	0.02120	0.044944	0.00000	0.000000	424	0	424	44944
004277	0.02120	0.045368	0.00000	0.000000	424	0	424	45368
009071	0.02110	0.043888	0.00000	0.000000	422	0	422	43888
007644	0.02110	0.044732	0.00000	0.000000	422	0	422	44732
003861	0.02110	0.043888	0.00000	0.000000	422	0	422	43888
009640	0.02100	0.044520	0.00000	0.000000	420	0	420	44520
007554	0.02100	0.043680	0.00000	0.000000	420	0	420	43680
006094	0.02100	0.044520	0.00000	0.000000	420	0	420	44520
000515	0.02100	0.044940	0.00000	0.000000	420	0	420	44940
010768	0.02080	0.043680	0.00000	0.000000	416	0	416	43680
006588	0.02080	0.044096	0.00000	0.000000	416	0	416	44096
002564	0.02080	0.043680	0.00000	0.000000	416	0	416	43680
010344	0.02070	0.043884	0.00000	0.000000	414	0	414	43884
008605	0.02070	0.043056	0.00000	0.000000	414	0	414	43056
001090	0.02070	0.043470	0.00000	0.000000	414	0	414	43470
011540	0.02060	0.043672	0.00000	0.000000	412	0	412	43672
009779	0.02060	0.044084	0.00000	0.000000	412	0	412	44084
008335	0.02060	0.043672	0.00000	0.000000	412	0	412	43672
001556	0.02060	0.044084	0.00000	0.000000	412	0	412	44084
010952	0.02050	0.043050	0.00000	0.000000	410	0	410	43050
000290	0.02050	0.043460	0.00000	0.000000	410	0	410	43460
001065	0.02040	0.043248	0.00000	0.000000	408	0	408	43248
010037	0.02030	0.043442	0.00000	0.000000	406	0	406	43442
009851	0.02030	0.043442	0.00000	0.000000	406	0	406	43442
004428	0.02030	0.043036	0.00000	0.000000	406	0	406	43036
011918	0.02020	0.043228	0.00000	0.000000	404	0	404	43228
006107	0.02020	0.042824	0.00000	0.000000	404	0	404	42824
005638	0.02020	0.043228	0.00000	0.000000	404	0	404	43228
010753	0.02010	0.042612	0.00000	0.000000	402	0	402	42612
004261	0.02010	0.042612	0.00000	0.000000	402	0	402	42612
001779	0.02010	0.043014	0.00000	0.000000	402	0	402	43014
011809	0.02000	0.042400	0.00000	0.000000	400	0	400	42400
