#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004593	0.07580	0.162212	0.00000	0.000000	1516	0	1516	162212
004520	0.06020	0.127624	0.00000	0.000000	1204	0	1204	127624
004273	0.05480	0.116176	0.00000	0.000000	1096	0	1096	116176
002237	0.05410	0.115774	0.00000	0.000000	1082	0	1082	115774
001131	0.05340	0.114276	0.00000	0.000000	1068	0	1068	114276
004082	0.04930	0.105502	0.00000	0.000000	986	0	986	105502
006394	0.04900	0.103880	0.00000	0.000000	980	0	980	103880
004686	0.04520	0.096728	0.00000	0.000000	904	0	904	96728
008670	0.04420	0.093704	0.00000	0.000000	884	0	884	93704
008040	0.04370	0.092644	0.00000	0.000000	874	0	874	92644
008246	0.04270	0.091378	0.00000	0.000000	854	0	854	91378
002047	0.04190	0.088828	0.00000	0.000000	838	0	838	88828
001060	0.04170	0.086736	0.00000	0.000000	834	0	834	86736
002038	0.04140	0.087768	0.00000	0.000000	828	0	828	87768
004024	0.04120	0.087344	0.00000	0.000000	824	0	824	87344
001346	0.04090	0.086708	0.00000	0.000000	818	0	818	86708
011954	0.04010	0.085012	0.00000	0.000000	802	0	802	85012
010837	0.03980	0.083580	0.00000	0.000000	796	0	796	83580
003687	0.03920	0.082320	0.00000	0.000000	784	0	784	82320
000803	0.03920	0.083104	0.00000	0.000000	784	0	784	83104
010611	0.03910	0.082892	0.00000	0.000000	782	0	782	82892
005364	0.03910	0.083674	0.00000	0.000000	782	0	782	83674
000261	0.03910	0.083674	0.00000	0.000000	782	0	782	83674
004951	0.03890	0.081690	0.00000	0.000000	778	0	778	81690
000845	0.03890	0.083246	0.00000	0.000000	778	0	778	83246
006841	0.03880	0.082256	0.00000	0.000000	776	0	776	82256
006430	0.03870	0.082044	0.00000	0.000000	774	0	774	82044
003095	0.03850	0.081620	0.00000	0.000000	770	0	770	81620
007897	0.03830	0.081196	0.00000	0.000000	766	0	766	81196
005145	0.03810	0.080772	0.00000	0.000000	762	0	762	80772
004465	0.03790	0.080348	0.00000	0.000000	758	0	758	80348
002710	0.03780	0.080892	0.00000	0.000000	756	0	756	80892
001714	0.03770	0.079924	0.00000	0.000000	754	0	754	79924
005750	0.03760	0.078960	0.00000	0.000000	752	0	752	78960
002853	0.03750	0.079500	0.00000	0.000000	750	0	750	79500
001941	0.03750	0.079500	0.00000	0.000000	750	0	750	79500
001586	0.03740	0.080036	0.00000	0.000000	748	0	748	80036
011958	0.03710	0.078652	0.00000	0.000000	742	0	742	78652
011316	0.03710	0.077168	0.00000	0.000000	742	0	742	77168
006238	0.03710	0.077910	0.00000	0.000000	742	0	742	77910
007854	0.03700	0.076960	0.00000	0.000000	740	0	740	76960
004845	0.03690	0.076752	0.00000	0.000000	738	0	738	76752
004809	0.03660	0.076860	0.00000	0.000000	732	0	732	76860
006853	0.03650	0.078110	0.00000	0.000000	730	0	730	78110
003800	0.03650	0.078110	0.00000	0.000000	730	0	730	78110
008573	0.03640	0.077896	0.00000	0.000000	728	0	728	77896
010672	0.03620	0.076744	0.00000	0.000000	724	0	724	76744
006554	0.03610	0.074366	0.00000	0.000000	722	0	722	74366
006001	0.03610	0.075810	0.00000	0.000000	722	0	722	75810
000300	0.03600	0.076320	0.00000	0.000000	720	0	720	76320
001364	0.03580	0.075896	0.00000	0.000000	716	0	716	75896
003548	0.03570	0.075684	0.00000	0.000000	714	0	714	75684
007966	0.03560	0.076184	0.00000	0.000000	712	0	712	76184
001869	0.03560	0.075472	0.00000	0.000000	712	0	712	75472
000691	0.03560	0.075472	0.00000	0.000000	712	0	712	75472
005853	0.03550	0.075260	0.00000	0.000000	710	0	710	75260
000887	0.03540	0.075048	0.00000	0.000000	708	0	708	75048
002863	0.03520	0.073920	0.00000	0.000000	704	0	704	73920
000698	0.03520	0.073920	0.00000	0.000000	704	0	704	73920
010115	0.03500	0.074200	0.00000	0.000000	700	0	700	74200
011947	0.03490	0.073290	0.00000	0.000000	698	0	698	73290
006981	0.03480	0.073776	0.00000	0.000000	696	0	696	73776
008464	0.03460	0.073352	0.00000	0.000000	692	0	692	73352
008336	0.03460	0.072660	0.00000	0.000000	692	0	692	72660
006352	0.03450	0.073140	0.00000	0.000000	690	0	690	73140
011989	0.03440	0.072240	0.00000	0.000000	688	0	688	72240
011058	0.03440	0.073616	0.00000	0.000000	688	0	688	73616
008035	0.03440	0.072928	0.00000	0.000000	688	0	688	72928
007350	0.03440	0.072928	0.00000	0.000000	688	0	688	72928
011832	0.03430	0.072716	0.00000	0.000000	686	0	686	72716
004921	0.03420	0.072504	0.00000	0.000000	684	0	684	72504
001854	0.03420	0.070452	0.00000	0.000000	684	0	684	70452
009770	0.03410	0.072292	0.00000	0.000000	682	0	682	72292
001243	0.03410	0.071610	0.00000	0.000000	682	0	682	71610
000576	0.03410	0.071610	0.00000	0.000000	682	0	682	71610
007386	0.03400	0.072760	0.00000	0.000000	680	0	680	72760
001936	0.03400	0.070720	0.00000	0.000000	680	0	680	70720
007658	0.03390	0.071868	0.00000	0.000000	678	0	678	71868
009594	0.03370	0.071444	0.00000	0.000000	674	0	674	71444
000495	0.03370	0.072118	0.00000	0.000000	674	0	674	72118
000266	0.03370	0.072118	0.00000	0.000000	674	0	674	72118
