#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
008308	0.04510	0.095612	0.00000	0.000000	902	0	902	95612
010552	0.04480	0.095872	0.00000	0.000000	896	0	896	95872
004837	0.04260	0.091164	0.00000	0.000000	852	0	852	91164
001723	0.04110	0.087132	0.00000	0.000000	822	0	822	87132
007268	0.04020	0.086028	0.00000	0.000000	804	0	804	86028
004822	0.03990	0.084588	0.00000	0.000000	798	0	798	84588
002439	0.03950	0.084530	0.00000	0.000000	790	0	790	84530
002389	0.03830	0.081196	0.00000	0.000000	766	0	766	81196
011604	0.03810	0.081534	0.00000	0.000000	762	0	762	81534
001133	0.03770	0.079924	0.00000	0.000000	754	0	754	79924
010994	0.03750	0.080250	0.00000	0.000000	750	0	750	80250
007760	0.03750	0.079500	0.00000	0.000000	750	0	750	79500
001387	0.03730	0.079076	0.00000	0.000000	746	0	746	79076
007354	0.03700	0.078440	0.00000	0.000000	740	0	740	78440
010389	0.03680	0.078016	0.00000	0.000000	736	0	736	78016
007776	0.03680	0.077280	0.00000	0.000000	736	0	736	77280
001655	0.03680	0.076544	0.00000	0.000000	736	0	736	76544
010578	0.03660	0.076860	0.00000	0.000000	732	0	732	76860
001917	0.03660	0.077592	0.00000	0.000000	732	0	732	77592
005046	0.03650	0.075190	0.00000	0.000000	730	0	730	75190
008622	0.03640	0.077168	0.00000	0.000000	728	0	728	77168
007523	0.03640	0.077168	0.00000	0.000000	728	0	728	77168
001263	0.03640	0.077896	0.00000	0.000000	728	0	728	77896
010062	0.03630	0.076956	0.00000	0.000000	726	0	726	76956
004582	0.03540	0.075048	0.00000	0.000000	708	0	708	75048
002577	0.03540	0.074340	0.00000	0.000000	708	0	708	74340
005284	0.03520	0.073920	0.00000	0.000000	704	0	704	73920
011196	0.03510	0.074412	0.00000	0.000000	702	0	702	74412
008839	0.03500	0.073500	0.00000	0.000000	700	0	700	73500
005633	0.03490	0.073290	0.00000	0.000000	698	0	698	73290
003485	0.03450	0.073140	0.00000	0.000000	690	0	690	73140
007687	0.03440	0.073616	0.00000	0.000000	688	0	688	73616
005039	0.03440	0.072928	0.00000	0.000000	688	0	688	72928
011291	0.03430	0.069972	0.00000	0.000000	686	0	686	69972
005346	0.03420	0.072504	0.00000	0.000000	684	0	684	72504
005296	0.03410	0.072292	0.00000	0.000000	682	0	682	72292
008286	0.03390	0.071868	0.00000	0.000000	678	0	678	71868
004082	0.03390	0.072546	0.00000	0.000000	678	0	678	72546
008914	0.03370	0.071444	0.00000	0.000000	674	0	674	71444
005866	0.03360	0.071232	0.00000	0.000000	672	0	672	71232
008582	0.03350	0.071690	0.00000	0.000000	670	0	670	71690
006258	0.03350	0.071690	0.00000	0.000000	670	0	670	71690
000224	0.03350	0.071690	0.00000	0.000000	670	0	670	71690
011696	0.03340	0.071476	0.00000	0.000000	668	0	668	71476
000714	0.03340	0.071476	0.00000	0.000000	668	0	668	71476
009843	0.03330	0.069930	0.00000	0.000000	666	0	666	69930
009871	0.03320	0.070384	0.00000	0.000000	664	0	664	70384
005827	0.03320	0.071048	0.00000	0.000000	664	0	664	71048
004264	0.03320	0.071048	0.00000	0.000000	664	0	664	71048
004270	0.03310	0.070172	0.00000	0.000000	662	0	662	70172
001076	0.03280	0.069536	0.00000	0.000000	656	0	656	69536
011654	0.03260	0.068460	0.00000	0.000000	652	0	652	68460
003871	0.03260	0.069764	0.00000	0.000000	652	0	652	69764
009490	0.03250	0.068250	0.00000	0.000000	650	0	650	68250
006538	0.03250	0.068900	0.00000	0.000000	650	0	650	68900
007533	0.03210	0.068694	0.00000	0.000000	642	0	642	68694
009284	0.03200	0.067840	0.00000	0.000000	640	0	640	67840
008962	0.03180	0.066144	0.00000	0.000000	636	0	636	66144
006290	0.03180	0.065508	0.00000	0.000000	636	0	636	65508
009957	0.03170	0.067838	0.00000	0.000000	634	0	634	67838
008817	0.03160	0.066992	0.00000	0.000000	632	0	632	66992
