Ct,sample,dilution
9.763312797727112,1,0
9.655727306642623,1,0
13.609560390275771,1,1
13.42742597494857,1,1
17.160975831198094,1,2
17.16203103195519,1,2
21.02784945002015,1,3
21.002034617929723,1,3
24.655463269643917,1,4
24.711966277247072,1,4
7.690645135329614,2,0
7.656751140386651,2,0
11.887162568176041,2,1
11.824328769592027,2,1
15.821100506184306,2,2
15.815217834314565,2,2
19.415168948411182,2,3
19.79493011754064,2,3
23.46093282816103,2,4
23.37702639529136,2,4
9.094165652937471,3,0
9.082832077323362,3,0
13.191750830783644,3,1
13.2388180098288,3,1
17.068705508119617,3,2
17.117073786161995,3,2
20.988144570821607,3,3
20.796925460897704,3,3
24.52110052824757,3,4
24.536999766830206,3,4
8.034033432696226,4,0
8.080564150331764,4,0
11.932687993965681,4,1
11.87436281267707,4,1
15.581068826821497,4,2
15.51125872392126,4,2
19.18723629967179,4,3
19.17497796701836,4,3
22.920886754747823,4,4
22.959489793531546,4,4
