Ct,sample,dilution
9.04,3m,1
9.2,3m,1
12.97,3m,2
12.99,3m,2
16.76,3m,3
16.74,3m,3
20.58,3m,4
20.54,3m,4
25.42,3m,5
25.47,3m,5
29.0,3m,6
29.0,3m,6
32.66,3m,7
32.73,3m,7
5.26,5m,1
5.27,5m,1
9.16,5m,2
9.35,5m,2
13.05,5m,3
13.09,5m,3
16.96,5m,4
16.96,5m,4
20.94,5m,5
21.04,5m,5
24.66,5m,6
24.7,5m,6
28.54,5m,7
28.54,5m,7
4.93,no,1
4.91,no,1
8.57,no,2
8.6,no,2
11.81,no,3
11.9,no,3
15.46,no,4
15.42,no,4
18.92,no,5
18.96,no,5
22.73,no,6
22.78,no,6
26.15,no,7
26.04,no,7
,ntc,
,ntc,
37.81,ntc,
