Text,X,Temperature,X,Acquisitions
0:00,0.08,31.29,26.68,53.97
0:00,0.49,31.44,38.74,53.97
0:00,0.9,32.04,50.84,53.93
0:01,1.32,32.83,62.93,53.97
0:01,1.73,33.81,75.04,53.93
0:02,2.14,34.72,87.15,53.97
0:02,2.55,35.89,99.24,53.97
0:02,2.96,36.84,111.34,53.93
0:03,3.38,37.76,123.45,53.93
0:03,3.79,38.67,135.55,53.97
0:04,4.2,39.61,147.65,53.93
0:04,4.61,40.47,159.75,53.93
0:05,5.03,41.41,171.85,53.97
0:05,5.44,42.33,183.96,53.93
0:05,5.85,43.43,196.07,53.97
0:06,6.26,44.35,208.16,53.97
0:06,6.67,45.25,220.26,53.97
0:07,7.09,46.17,232.38,53.97
0:07,7.5,47.04,337.1,69.93
0:07,7.91,47.93,338.33,69.52
0:08,8.33,48.81,339.56,69.4
0:08,8.74,49.75,340.8,69.58
0:09,9.15,50.84,342.04,69.79
0:09,9.56,51.76,343.27,69.96
0:09,9.98,52.65,344.49,70.1
0:10,10.39,53.52,345.73,70.25
0:10,10.8,54.4,346.97,70.4
0:11,11.21,55.29,348.21,70.54
0:11,11.63,56.21,349.46,70.67
0:12,12.04,57.08,350.69,70.8
0:12,12.45,57.4,351.92,70.91
0:12,12.87,57.05,353.16,71.04
0:13,13.28,56.46,354.41,71.15
0:13,13.69,55.82,355.64,71.25
0:14,14.1,55.23,356.87,71.38
0:14,14.52,54.7,358.12,71.47
0:14,14.93,54.33,359.36,71.59
0:15,15.34,54.11,360.6,71.71
0:15,15.75,54,361.84,71.79
0:16,16.17,53.97,363.07,71.91
0:16,16.58,53.97,364.3,72.03
0:16,16.99,53.97,365.53,72.1
0:17,17.4,54,366.77,72.23
0:17,17.82,54,367.99,72.31
0:18,18.23,54,369.23,72.44
0:18,18.64,54.03,370.46,72.52
0:19,19.05,54,371.69,72.64
0:19,19.46,54.03,372.93,72.72
0:19,19.88,54,374.18,72.84
0:20,20.29,54,375.42,72.95
0:20,20.7,54,376.65,73.02
0:21,21.11,54,377.88,73.13
0:21,21.53,54,379.13,73.25
0:21,21.94,54,380.37,73.34
0:22,22.35,53.97,381.6,73.42
0:22,22.77,54,382.83,73.53
0:23,23.18,54,384.06,73.65
0:23,23.59,53.97,385.29,73.74
0:24,24,54,386.52,73.83
0:24,24.41,53.97,387.76,73.92
0:24,24.83,53.97,388.99,74.04
0:25,25.24,54,390.23,74.14
0:25,25.65,53.97,391.46,74.23
0:26,26.06,53.97,392.69,74.35
0:26,26.48,53.97,393.91,74.43
0:26,26.89,53.97,395.15,74.53
0:27,27.3,53.97,396.39,74.64
0:27,27.72,53.97,397.61,74.73
0:28,28.13,54,398.85,74.81
0:28,28.54,53.97,400.07,74.93
0:28,28.96,53.97,401.32,75.04
0:29,29.37,53.97,402.54,75.14
0:29,29.78,53.97,403.78,75.22
0:30,30.19,53.97,405.02,75.34
0:30,30.6,53.97,406.27,75.46
0:31,31.02,53.97,407.5,75.51
0:31,31.43,53.97,408.73,75.62
0:31,31.84,53.97,409.97,75.72
0:32,32.25,53.97,411.21,75.83
0:32,32.67,53.97,412.44,75.94
0:33,33.08,53.97,413.68,76.04
0:33,33.49,53.97,414.93,76.12
0:33,33.9,53.97,416.17,76.23
0:34,34.32,53.93,417.4,76.35
0:34,34.73,53.97,418.63,76.44
0:35,35.14,53.97,419.88,76.55
0:35,35.55,53.97,421.12,76.62
0:35,35.97,53.97,422.36,76.73
0:36,36.38,53.97,423.59,76.85
0:36,36.79,53.97,424.83,76.93
0:37,37.21,53.97,426.07,77.04
0:37,37.62,53.97,427.31,77.13
0:38,38.03,53.97,428.56,77.23
0:38,38.44,53.97,429.79,77.34
0:38,38.85,53.93,431.02,77.43
0:39,39.27,53.97,432.25,77.52
0:39,39.68,53.97,433.48,77.63
0:40,40.09,53.97,434.72,77.74
0:40,40.5,53.93,435.95,77.83
0:40,40.92,53.97,437.19,77.92
0:41,41.33,53.97,438.43,78.04
